CardConcept,P01,P02,P04,P05,P06,P07,P08,P11,P12,P13,P16,P17,P18,P19,P20
Allied healthcare providers,NaN,NaN,NaN,Addition,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Annual population estimates ,Useful,Useful,Useful,Maybe,Maybe,Maybe,Useful,Not,Not,Not,Maybe,Not,Not,Not,Maybe
Blocked roads ,Useful,Useful,Useful,Useful,Maybe,Useful,Useful,Useful,Useful,Useful,Useful,Maybe,Useful,Useful,Useful
Building and housing quality,NaN,NaN,NaN,Addition,NaN,Addition,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Census Block boundaries ,Useful,Not,Maybe,Maybe,Not,Useful,Useful,Not,Useful,Maybe,Not,Not,Not,Useful,Useful
Census Tract demographics ,Useful,Useful,Useful,Maybe,Useful,Useful,Useful,Not,Useful,Useful,Not,Not,Useful,Not,Useful
Chemical interpretation aid ,Useful,Maybe,Useful,Maybe,Not,Not,Not,Not,Not,Not,Not,Maybe,Useful,Useful,Useful
Community boundaries,NaN,Addition,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Community cohesiveness,NaN,NaN,NaN,NaN,Addition,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
County demographics ,Useful,Not,Useful,Useful,Useful,Useful,Useful,Not,Maybe,Useful,Useful,Useful,Useful,Not,Useful
County/Municipios boundaries ,Useful,Useful,Not,Useful,Not,Useful,Useful,Not,Not,Useful,Useful,Useful,Not,Useful,Useful
Dialysis clinics,NaN,NaN,NaN,Addition,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Disposal plan for dead bodies,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Addition,NaN
"Doctor's office, clinics, and ambulatory surgery centers",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Addition,NaN,NaN,NaN,NaN
Econometric surveys and databases,NaN,NaN,NaN,NaN,NaN,NaN,Addition,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Electronic health record information,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Addition,NaN,NaN,NaN
Evacuation plans,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Addition,NaN,NaN,NaN,NaN,NaN,NaN
Flooded areas ,Not,Useful,Useful,Useful,Maybe,Maybe,Useful,Useful,Useful,Useful,Useful,Useful,Useful,Useful,Useful
Government response infrastructure,NaN,NaN,NaN,NaN,Addition,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Health outcomes by County ,Useful,Useful,Useful,Useful,Useful,Useful,Useful,Not,Useful,Useful,Useful,Maybe,Maybe,Not,Useful
Health outcomes by State ,Not,Not,Maybe,Maybe,Useful,Not,Not,Not,Maybe,Not,Maybe,Maybe,Not,Not,Useful
Health system standard operating protocol,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Addition,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Highly prevalent investigations,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Addition
Hospital locations ,Useful,Useful,Useful,Maybe,Useful,Useful,Useful,Useful,Useful,Useful,Useful,Useful,Useful,Useful,Useful
Human resource ,Useful,Maybe,Useful,Maybe,Useful,Useful,Useful,Useful,Maybe,Useful,Useful,Not,Useful,Useful,Useful
Individual and family level of preparedness,NaN,NaN,NaN,NaN,Addition,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Insurance coverage,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Addition,NaN,NaN,NaN,NaN,NaN,NaN
